hqo_sas_obuserid_rand_dig,,,,,,,,
hqo_pb_userid,,,,,,,,
hqo_entity_use_pb_userid,,,,,,,,
hqo_pb_userid_rand_dig,,,,,,,,
hqo_sas_pbuserid_rand_dig,,,,,,,,
hqo_device_id,,,,,,,,
hqo_device_id_type,,,,,,,,
hqo_device_id_rand_dig,,,,,,,,
hqo_sas_deviceid_rand_dig,,,,,,,,
hqo_limit_type,,,,,,,,
hqo_limit_sub_type,,,,,,,,
hqo_limit_amt,,,,,,,,
hqo_limit_curr_code,,,,,,,,
hqo_limit_curr_conv_rate,,,,,,,,
hqo_limit_cnt,,,,,,,,
hqo_msg_type,,,,,,,,
1401003,,,,,,,,
hct_seg_id_version,,,,,,,,
hct_seq_num,,,,,,,,
hct_card_purpose,,,,,,,,
hct_ch_post_code,,,,,,,,
hct_ch_cntry_code,,,,,,,,
hct_media,,,,,,,,
hct_which_card,,,,,,,,
hct_onus_flag,,,,,,,,
hct_asso_dec_code,,,,,,,,
hct_xmit_datetime,,,,,,,,
hct_term_owner_id,merchant.acquiringBankName,,,,,,,
hct_mer_mcc,,,,,,,,
hct_term_id,,,,,,,,
hct_client_term_cat,,,,,,,,
hct_term_owner_name,merchant.name,,,,,,,
hct_term_city,merchant.city,,,,,,,
hct_term_state,merchant.state,,,,,,,
hct_term_post_code,merchant.country,,,,,,,
hct_term_cntry_code,merchant.countryCode,,,,,,,
hct_term_owner_name_lcl,,,,,,,,
hct_acq_cntry_code,,,,,,,,
hct_acq_id,,,,,,,,
1402002,,,,,,,,
hob_seg_id_version,,,,,,,,
hob_ip_address,,,,,,,,
hob_ip_address_v6,,,,,,,,
hob_ip_cntry_code,,,,,,,,
hob_ip_city,,,,,,,,
hob_ip_post_code,,,,,,,,
hob_ip_latitude,,,,,,,,
hob_ip_longitude,,,,,,,,
hob_ip_isp,,,,,,,,
hob_session_id,,,,,,,,
hob_logon_date,,,,,,,,
hob_logon_time,,,,,,,,
hob_device,,,,,,,,
hob_match_ind,,,,,,,,
hob_website_name,,,,,,,,
hob_webpage_code,,,,,,,,
1403004,,,,,,,,
hdf_seg_id_version,,,,,,,,
hdf_javascript_enable,,,,,,,,
hdf_dev_fp_type,,,,,,,,
hdf_dev_fp_val,,,,,,,,
hdf_dev_ip_address,,,,,,,,
hdf_dev_ip_address_v6,,,,,,,,
hdf_dev_lang_cd,,,,,,,,
hdf_dev_country_cd,,,,,,,,
hdf_dev_date,,,,,,,,
hdf_dev_time,,,,,,,,
hdf_dev_time_offset,,,,,,,,
hdf_dev_dst_ind,,,,,,,,
hdf_dev_dst_act,,,,,,,,
hdf_dev_cpu,,,,,,,,
hdf_dev_screen_width,,,,,,,,
hdf_dev_screen_height,,,,,,,,
hdf_dev_screen_color,,,,,,,,
hdf_bwsr_os,,,,,,,,
hdf_bwsr_type,,,,,,,,
hdf_http_accept,,,,,,,,
hdf_http_accept_encod,,,,,,,,
hdf_http_accept_charset,,,,,,,,
hdf_http_accept_lang,,,,,,,,
hdf_http_user_agent,,,,,,,,
hdf_http_referer,,,,,,,,
hdf_bwsr_cookie_enabled,,,,,,,,
hdf_server_date,,,,,,,,
hdf_server_time,,,,,,,,
hdf_mac_addr,,,,,,,,
1403102,,,,,,,,
hpb_seg_id_version,,,,,,,,
hpb_type,,,,,,,,
hpb_id,,,,,,,,
hpb_appl_type,,,,,,,,
hpb_language,,,,,,,,
hpb_ani_cntry_code,,,,,,,,
hpb_ani_num,,,,,,,,
hpb_ani_hit_ind,,,,,,,,
hpb_match_ind,,,,,,,,
hpb_call_dnis,,,,,,,,
hpb_staff_id,,,,,,,,
